Question,Departments (separated by /),Subcategory,Critical,type,Category,Spalte2
Sind alle für die Operation notwenigen Informationen auf dem OP-Programm erhalten?,OP In,Ablauforganisation,FALSE,Frage Personal,Aseptisches Arbeiten,
Wird das Team-Time-Out korrekt durchgeführt?,OP In,Ablauforganisation,FALSE,Beobachtung,Aseptisches Arbeiten,
Wird benutztes Instrumentarium unmittelbar nach dem Gebrauch in geschlossenen stich- und schnittfesten Behältern zur Aufbereitung transportiert?,OP In / I,Aufbereitung von Instrumenten und Utensilien,FALSE,Beobachtung,Aufbereitung/Desinfektion/Reinigung,
Werden die Instrumente gleichmässig mit einem Vorbereitungsschaum besprüht? ,OP In / I,Aufbereitung von Instrumenten und Utensilien,FALSE,Beobachtung,Aufbereitung/Desinfektion/Reinigung,
Wird der Abfall nach Entsorgungskonzept der Insel Gruppe entsorgt?,OP If / I / A,Entsorgung,FALSE,Beobachtung,Infrastruktur,
Stehen Behältnisse zur sicheren Entsorgung medizinischer Abfälle zur Verfügung?,OP If / I / A,Entsorgung,FALSE,Beobachtung,Infrastruktur,
Ist die Zoneneinteilung klar definiert?,OP If,Hygienezonen,FALSE,Frage Personal,Infrastruktur,
Wird die Zoneneinteilung eingehalten?,OP If,Hygienezonen,FALSE,Frage Personal,Infrastruktur,
Ist die Zutrittsberechtigung für teamfremde Personen geregelt?,OP If,Hygienezonen,FALSE,Frage Personal,Infrastruktur,
Gibt es Verhaltensregeln für die Begleitpersonen von Patientinnen und Patienten?,OP If,Hygienezonen,FALSE,Frage Personal,Infrastruktur,
"Ist die Abteilung räumlich so organisiert, dass eine klare Trennung der Materialver- und entsorgung gewährleistet ist (Kreuzkontamination ausgeschlossen)?",OP If / I,Allgemeines,TRUE,Frage Personal,Infrastruktur,
"Ist genügend Platz für geparkte Patientenbetten, so dass eine Kreuzkontamination verhindert wird?",OP If / I,Allgemeines,TRUE,Frage Personal,Infrastruktur,
Sind Oberflächen und Böden in medizinisch genutzten Räumen desinfizierbar und gut zu reinigen?,OP If / I,Reinigung und Desinfektion von Flächen,FALSE,Beobachtung,Aufbereitung/Desinfektion/Reinigung,
Sind reine und unreine Zonen definiert?,OP If / I / A,Ausguss,TRUE,Beobachtung,Infrastruktur,
Werden die reinen und unreinen Zonen eingehalten?,OP If / I / A,Ausguss,TRUE,Beobachtung,Infrastruktur,
Findet eine jährliche Wartung sowie jährliche Validierung von Reinigungs- und Desinfektionsmittelgeräten statt? ,OP If / I / A,Ausguss,TRUE,Beobachtung,Infrastruktur,
"Wird die Konzentration, Einwirk- und Standzeit bei Instrumentendesinfektionsmitteln nach Herstellerangaben eingehalten? ",I / A,Aufbereitung von Instrumenten und Utensilien,FALSE,Beobachtung,Aufbereitung/Desinfektion/Reinigung,
Sind arbeitstäglich genutzte Instrumentendesinfektionsmittellösungen optisch sauber? ,I / A,Aufbereitung von Instrumenten und Utensilien,FALSE,Beobachtung,Aufbereitung/Desinfektion/Reinigung,
Ist ein Ausguss ausserhalb des OP-Saales vorhanden?,OP If,Ausguss,FALSE,Frage Personal,Infrastruktur,
"Hat das Reinigungspersonal einen eigenen Raum, in dem die Reinigungsmaterialien aufbewahrt werden?",OP If,Ausguss,FALSE,Beobachtung,Infrastruktur,
"Besteht eine Anleitung zur Beladung der Dekontaminationsgeräte nach Herstellerangaben(Steckbeckenautomat, TopClean 60) und werden die Geräte nach dieser Anleitung beladen?",OP If / I / A,Aufbereitung von Instrumenten und Utensilien,FALSE,Beobachtung,Aufbereitung/Desinfektion/Reinigung,
Ist die Trennung von OP-Bereichs- / Berufs- / Privatkleidung gewährleistet?,OP If,Garderoben,FALSE,Beobachtung,Infrastruktur,
Ist Lagerung und Transport von OP-Bereichskleidung geregelt?,OP If,Garderoben,FALSE,Beobachtung,Infrastruktur,
